Field,Variable,Value,Label
Nwkdays,2,2 days,Number of weekdays (Mon-Thu) for weighting
Nwkdays,3,3 days,Number of weekdays (Mon-Thu) for weighting
Nwkdays,4,4 days,Number of weekdays (Mon-Thu) for weighting
SampleSegment,1,1 - PSRC - Regular-Low,Sample segment
SampleSegment,2,2 - PSRC - Regular-Medium,Sample segment
SampleSegment,3,3 - PSRC - Regular-High,Sample segment
SampleSegment,11,11 - PSRC - Oversample-Low,Sample segment
SampleSegment,12,12 - PSRC - Oversample-Medium,Sample segment
SampleSegment,13,13 - PSRC - Oversample-High,Sample segment
SampleSegment,22,22 - Redmond - Regular-Medium,Sample segment
SampleSegment,23,23 - Redmond - Regular-High,Sample segment
SampleSegment,31,31 - Redmond - Oversample-Low,Sample segment
SampleSegment,32,32 - Redmond - Oversample-Medium,Sample segment
SampleSegment,33,33 - Redmond - Oversample-High,Sample segment
SampleSegment,42,42 - Redmond - Downtown-Medium,Sample segment
SampleSegment,43,43 - Redmond - Downtown-High,Sample segment
SampleSegment,50,50 - UV - 10%,Sample segment
SampleSegment,51,51 - UV - 15%,Sample segment
SampleSegment,52,52 - UV - 20%,Sample segment
SampleSegment,53,53 - UV - 25%,Sample segment
SampleSegment,54,54 - UV - 30%,Sample segment
SampleSegment,55,55 - UV - 35%,Sample segment
SampleSegment,56,56 - UV - 50%,Sample segment
SampleSegment,57,57 - UV - 60%,Sample segment
SampleSegment,58,58 - UV - 75%,Sample segment
SampleSegment,59,59 - UV - 100%,Sample segment
Relationship,0,Self,Relationship to primary respondent
Relationship,1,Wife/Husband/Partner,Relationship to primary respondent
Relationship,2,Daughter/Son/In-law,Relationship to primary respondent
Relationship,3,Mother/Father/In-law,Relationship to primary respondent
Relationship,4,Sister/Brother/In-law,Relationship to primary respondent
Relationship,5,Other relative,Relationship to primary respondent
Relationship,6,Roommate/Friend,Relationship to primary respondent
Relationship,7,Household help,Relationship to primary respondent
Relationship,97,Other,Relationship to primary respondent
ProxyParent,0,No,rMove only_ Is proxy parent
ProxyParent,1,Yes,rMove only_ Is proxy parent
Proxy,1,Respondent answered themselves,Survey respondent_proxy
Proxy,2,Another person responded with the participant present,Survey respondent_proxy
Proxy,3,Another person responded without the participant present,Survey respondent_proxy
Age,1,Under 5 years old,Age
Age,2,5-11 years,Age
Age,3,12-15 years,Age
Age,4,16-17 years,Age
Age,5,18-24 years,Age
Age,6,25-34 years,Age
Age,7,35-44 years,Age
Age,8,45-54 years,Age
Age,9,55-64 years,Age
Age,10,65-74 years,Age
Age,11,75-84 years,Age
Age,12,85 or years older,Age
Gender,1,Male,Gender
Gender,2,Female,Gender
Gender,3,Another,Gender
Gender,4,Prefer not to answer,Gender
Employment,1,"Employed full time (35+ hours/week, paid)",Age 18+_ Employment status
Employment,2,"Employed part time (fewer than 35 hours/week, paid)",Age 18+_ Employment status
Employment,3,Self-employed,Age 18+_ Employment status
Employment,4,Unpaid volunteer or intern,Age 18+_ Employment status
Employment,5,Homemaker,Age 18+_ Employment status
Employment,6,Retired,Age 18+_ Employment status
Employment,7,Not currently employed,Age 18+_ Employment status
JobsCount,0,0 jobs,Age 16-17 or employed adult_ Number of jobs
JobsCount,1,1 job,Age 16-17 or employed adult_ Number of jobs
JobsCount,2,2 jobs,Age 16-17 or employed adult_ Number of jobs
JobsCount,3,3 jobs,Age 16-17 or employed adult_ Number of jobs
JobsCount,4,4 jobs,Age 16-17 or employed adult_ Number of jobs
JobsCount,5,5 or more jobs,Age 16-17 or employed adult_ Number of jobs
Worker,0,No jobs,Worker status (derived)
Worker,1,1+ job(s) (including part-time),Worker status (derived)
Student,1,"No, not a student",Age 18+_ Student status
Student,2,Part-time student,Age 18+_ Student status
Student,3,Full-time student,Age 18+_ Student status
Schooltype,1,Daycare,Student (child or adult)_ Type of school attended
Schooltype,2,Preschool,Student (child or adult)_ Type of school attended
Schooltype,3,K-12 public school,Student (child or adult)_ Type of school attended
Schooltype,4,K-12 private school,Student (child or adult)_ Type of school attended
Schooltype,5,K-12 home school (full-time or part-time),Student (child or adult)_ Type of school attended
Schooltype,6,"College, graduate, or professional school",Student (child or adult)_ Type of school attended
Schooltype,7,Vocational/technical school,Student (child or adult)_ Type of school attended
Schooltype,9,None,Student (child or adult)_ Type of school attended
Schooltype,97,Other,Student (child or adult)_ Type of school attended
Education,1,Less than high school,Age 18+_ Educational attainment
Education,2,High school graduate,Age 18+_ Educational attainment
Education,3,Some college,Age 18+_ Educational attainment
Education,4,Vocational/technical training,Age 18+_ Educational attainment
Education,5,Associates degree,Age 18+_ Educational attainment
Education,6,Bachelor degree,Age 18+_ Educational attainment
Education,7,Graduate/post-graduate degree,Age 18+_ Educational attainment
License,1,"Yes, has an intermediate or unrestricted license",Age 16+_ Has valid drivers license
License,2,"Yes, has a learner’s permit",Age 16+_ Has valid drivers license
License,3,"No, does not have a license or permit",Age 16+_ Has valid drivers license
Vehicleused,1,Household vehicle 1,Has drivers license_ in HH with car_ Vehicle uses most often
Vehicleused,2,Household vehicle 2,Has drivers license_ in HH with car_ Vehicle uses most often
Vehicleused,3,Household vehicle 3,Has drivers license_ in HH with car_ Vehicle uses most often
Vehicleused,4,Household vehicle 4,Has drivers license_ in HH with car_ Vehicle uses most often
Vehicleused,5,Household vehicle 5,Has drivers license_ in HH with car_ Vehicle uses most often
Vehicleused,11,"A carshare vehicle (Zipcar, Car2Go, RelayRides, etc.)",Has drivers license_ in HH with car_ Vehicle uses most often
Vehicleused,12,Other vehicle,Has drivers license_ in HH with car_ Vehicle uses most often
Vehicleused,13,None,Has drivers license_ in HH with car_ Vehicle uses most often
SmartphoneType,1,"Yes, has an Android phone",Age 18+_ Smartphone type
SmartphoneType,2,"Yes, has an iPhone",Age 18+_ Smartphone type
SmartphoneType,3,"Yes, has a Windows Phone",Age 18+_ Smartphone type
SmartphoneType,4,"Yes, has a Blackberry",Age 18+_ Smartphone type
SmartphoneType,5,"Yes, has other type of smartphone",Age 18+_ Smartphone type
SmartphoneType,6,"No, does not have a smartphone",Age 18+_ Smartphone type
SmartphoneAge,1,Yes,Smartphone is more than four years old
SmartphoneAge,2,No,Smartphone is more than four years old
SmartphoneQualified,0,No,Owns rMove qualified smartphone
SmartphoneQualified,1,Yes,Owns rMove qualified smartphone
RaceAfam,0,Not Selected,Age 18+_ Race_ African American or Black
RaceAfam,1,Selected,Age 18+_ Race_ African American or Black
RaceAiak,0,Not Selected,Age 18+_ Race_ American Indian or Alaska Native
RaceAiak,1,Selected,Age 18+_ Race_ American Indian or Alaska Native
RaceAsian,0,Not Selected,Age 18+_ Race_ Asian
RaceAsian,1,Selected,Age 18+_ Race_ Asian
RaceHapi,0,Not Selected,Age 18+_ Race_ Native Hawaiian or Pacific Islander
RaceHapi,1,Selected,Age 18+_ Race_ Native Hawaiian or Pacific Islander
RaceHisp,0,Not Selected,Age 18+_ Race_ Hispanic
RaceHisp,1,Selected,Age 18+_ Race_ Hispanic
RaceWhite,0,Not Selected,Age 18+_ Race_ White
RaceWhite,1,Selected,Age 18+_ Race_ White
RaceOther,0,Not Selected,Age 18+_ Race_ Other
RaceOther,1,Selected,Age 18+_ Race_ Other
RaceNoanswer,0,Not Selected,Age 18+_ Race_ Prefer not to answer
RaceNoanswer,1,Selected,Age 18+_ Race_ Prefer not to answer
Workplace,1,Usually the same location (outside home),Employed_ Usual work location
Workplace,2,Workplace regularly varies (different offices or jobsites),Employed_ Usual work location
Workplace,3,At home (telecommute or self-employed with home office),Employed_ Usual work location
Workplace,4,"Drives for a living (e.g., bus driver, salesperson)",Employed_ Usual work location
HoursWork,1,More than 50 hours,Employed_ Number of hours typically worked per week
HoursWork,2,41–50 hours,Employed_ Number of hours typically worked per week
HoursWork,3,31–40 hours,Employed_ Number of hours typically worked per week
HoursWork,4,21–30 hours,Employed_ Number of hours typically worked per week
HoursWork,5,11–20 hours,Employed_ Number of hours typically worked per week
HoursWork,6,10 hours or fewer,Employed_ Number of hours typically worked per week
CommuteFreq,1,6-7 days a week,Employed_ fixed_varied workplace_ How often typically commutes to workplace
CommuteFreq,2,5 days a week,Employed_ fixed_varied workplace_ How often typically commutes to workplace
CommuteFreq,3,4 days a week,Employed_ fixed_varied workplace_ How often typically commutes to workplace
CommuteFreq,4,3 days a week,Employed_ fixed_varied workplace_ How often typically commutes to workplace
CommuteFreq,5,2 days a week,Employed_ fixed_varied workplace_ How often typically commutes to workplace
CommuteFreq,6,1 day a week,Employed_ fixed_varied workplace_ How often typically commutes to workplace
CommuteFreq,7,A few times per month,Employed_ fixed_varied workplace_ How often typically commutes to workplace
CommuteFreq,8,Less than monthly,Employed_ fixed_varied workplace_ How often typically commutes to workplace
CommuteMode,1,Drive alone,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,2,Carpool ONLY with other household members,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,3,Carpool with other people not in household (may also include household members),Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,4,Motorcycle/moped/scooter,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,5,Vanpool,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,6,Bicycle or e-bike,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,7,"Walk, jog, or wheelchair",Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,8,Bus (public transit),Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,9,Private bus or shuttle,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,10,Paratransit,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,11,"Commuter rail (Sounder, Amtrak)",Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,12,"Urban rail (Link light rail, monorail)",Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,13,Streetcar,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,14,Ferry or water taxi,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,15,"Taxi (e.g., Yellow Cab)",Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,16,"Other hired service (e.g. Lyft, Uber)",Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,17,Airplane or helicopter,Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteMode,97,"Other (e.g. skateboard, kayak, motor home, etc.)",Employed_ fixed_varied workplace_ Usual way of commuting to current location_office
CommuteDur,1,Less than a year,Employed_ fixed workplace_ How long has been commuting to current location_office
CommuteDur,2,Between 1 and 2 years,Employed_ fixed workplace_ How long has been commuting to current location_office
CommuteDur,3,Between 2 and 3 years,Employed_ fixed workplace_ How long has been commuting to current location_office
CommuteDur,4,Between 3 and 5 years,Employed_ fixed workplace_ How long has been commuting to current location_office
CommuteDur,5,Between 5 and 10 years,Employed_ fixed workplace_ How long has been commuting to current location_office
CommuteDur,6,Between 10 and 20 years,Employed_ fixed workplace_ How long has been commuting to current location_office
CommuteDur,7,More than 20 years,Employed_ fixed workplace_ How long has been commuting to current location_office
TelecommuteFreq,1,6-7 days a week,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,2,5 days a week,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,3,4 days a week,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,4,3 days a week,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,5,2 days a week,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,6,1 day a week,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,7,A few times per month,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,8,Less than monthly,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,9,Never,Employed_ fixed_varied workplace_ How often telecommutes
TelecommuteFreq,10,Not applicable,Employed_ fixed_varied workplace_ How often telecommutes
Wpktyp,1,At work – driveway/surface lot,Commutes in private vehicle_ Usual parking location at work
Wpktyp,2,At work – garage/parkade,Commutes in private vehicle_ Usual parking location at work
Wpktyp,3,On street by work,Commutes in private vehicle_ Usual parking location at work
Wpktyp,4,Different location – driveway/surface lot,Commutes in private vehicle_ Usual parking location at work
Wpktyp,5,Different location – garage/parkade,Commutes in private vehicle_ Usual parking location at work
Wpktyp,6,Different location - on street,Commutes in private vehicle_ Usual parking location at work
Wpktyp,7,Dropped off,Commutes in private vehicle_ Usual parking location at work
Wpktyp,9,Don’t know,Commutes in private vehicle_ Usual parking location at work
Wpktyp,97,Other,Commutes in private vehicle_ Usual parking location at work
Workpass,1,"Yes, personally pay for parking pass at work",Parks at work_ Usual way of paying for parking at work
Workpass,2,"Yes, personally pay daily with cash/tickets",Parks at work_ Usual way of paying for parking at work
Workpass,3,"Yes, employer pays/reimburses for all or part of parking pass",Parks at work_ Usual way of paying for parking at work
Workpass,4,"Yes, employer pays/reimburses for all or part of daily parking costs",Parks at work_ Usual way of paying for parking at work
Workpass,5,"No, parking is usually/always free",Parks at work_ Usual way of paying for parking at work
Workpass,6,N/A (e.g. dropped off),Parks at work_ Usual way of paying for parking at work
WorkpassCostDk,0,Not Selected,Parks at work_ Don't know total work parking cost per month
WorkpassCostDk,1,Selected,Parks at work_ Don't know total work parking cost per month
PrevWorkWa,1,"Yes, previous workplace was in Washington",New work location in last 5 years_ Previous work location in State of Washington (WA)
PrevWorkWa,2,"No, previous workplace was in another state or country",New work location in last 5 years_ Previous work location in State of Washington (WA)
PrevWorkWa,3,Not applicable (No previous job / Previously telecommuted / Don’t know),New work location in last 5 years_ Previous work location in State of Washington (WA)
PrevWorkNotwaState,1,Alabama (AL),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,2,Alaska (AK),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,3,Arizona (AZ),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,4,Arkansas (AR),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,5,California (CA),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,6,Colorado (CO),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,7,Connecticut (CT),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,8,Delaware (DE),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,9,Florida (FL),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,10,Georgia (GA),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,11,Hawaii (HI),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,12,Idaho (ID),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,13,Illinois (IL),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,14,Indiana (IN),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,15,Iowa (IA),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,16,Kansas (KS),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,17,Kentucky (KY),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,18,Louisiana (LA),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,19,Maine (ME),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,20,Maryland (MD),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,21,Massachusetts (MA),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,22,Michigan (MI),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,23,Minnesota (MN),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,24,Mississippi (MS),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,25,Missouri (MO),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,26,Montana (MT),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,27,Nebraska (NE),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,28,Nevada (NV),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,29,New Hampshire (NH),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,30,New Jersey (NJ),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,31,New Mexico (NM),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,32,New York (NY),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,33,North Carolina (NC),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,34,North Dakota (ND),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,35,Ohio (OH),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,36,Oklahoma (OK),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,37,Oregon (OR),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,38,Pennsylvania (PA),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,39,Puerto Rico (PR),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,40,Rhode Island (RI),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,41,South Carolina (SC),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,42,South Dakota (SD),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,43,Tennessee (TN),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,44,Texas (TX),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,45,Utah (UT),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,46,Vermont (VT),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,47,Virginia (VA),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,48,Washington (WA),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,49,West Virginia (WV),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,50,Wisconsin (WI),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,51,Wyoming (WY),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaState,52,Washington D.C. / District of Columbia (DC),New work location in last 5 years_ Previous work location_ State
PrevWorkNotwaNotus,0,Not Selected,New work location in last 5 years_ Previous work location not in the US
PrevWorkNotwaNotus,1,Selected,New work location in last 5 years_ Previous work location not in the US
SchoolFreq,1,6–7 days per week,Student_ travels to school_ How often travels to school
SchoolFreq,2,5 days per week,Student_ travels to school_ How often travels to school
SchoolFreq,3,4 days per week,Student_ travels to school_ How often travels to school
SchoolFreq,4,3 days per week,Student_ travels to school_ How often travels to school
SchoolFreq,5,2 days per week,Student_ travels to school_ How often travels to school
SchoolFreq,6,1 day per week,Student_ travels to school_ How often travels to school
SchoolFreq,7,Less than 1 day per week,Student_ travels to school_ How often travels to school
SchoolFreq,8,"Never, only take online classes",Student_ travels to school_ How often travels to school
CompletedPrefSurvey,0,No,Participant completed preference survey
CompletedPrefSurvey,1,Yes,Participant completed preference survey
ModeFreq_1,1,6-7 days/week,Times ridden transit in past 30 days
ModeFreq_1,2,5 days/week,Times ridden transit in past 30 days
ModeFreq_1,3,2-4 days/week,Times ridden transit in past 30 days
ModeFreq_1,4,1 day/week,Times ridden transit in past 30 days
ModeFreq_1,5,1-3 times in the past 30 days,Times ridden transit in past 30 days
ModeFreq_1,6,"I do this, but not in the past 30 days",Times ridden transit in past 30 days
ModeFreq_1,7,I never do this,Times ridden transit in past 30 days
ModeFreq_2,1,6-7 days/week,Times ridden a bike in past 30 days
ModeFreq_2,2,5 days/week,Times ridden a bike in past 30 days
ModeFreq_2,3,2-4 days/week,Times ridden a bike in past 30 days
ModeFreq_2,4,1 day/week,Times ridden a bike in past 30 days
ModeFreq_2,5,1-3 times in the past 30 days,Times ridden a bike in past 30 days
ModeFreq_2,6,"I do this, but not in the past 30 days",Times ridden a bike in past 30 days
ModeFreq_2,7,I never do this,Times ridden a bike in past 30 days
ModeFreq_3,1,6-7 days/week,Times gone for a walk in past 30 days
ModeFreq_3,2,5 days/week,Times gone for a walk in past 30 days
ModeFreq_3,3,2-4 days/week,Times gone for a walk in past 30 days
ModeFreq_3,4,1 day/week,Times gone for a walk in past 30 days
ModeFreq_3,5,1-3 times in the past 30 days,Times gone for a walk in past 30 days
ModeFreq_3,6,"I do this, but not in the past 30 days",Times gone for a walk in past 30 days
ModeFreq_3,7,I never do this,Times gone for a walk in past 30 days
ModeFreq_4,1,6-7 days/week,Age 16+_ Times used carshare in past 30 days
ModeFreq_4,2,5 days/week,Age 16+_ Times used carshare in past 30 days
ModeFreq_4,3,2-4 days/week,Age 16+_ Times used carshare in past 30 days
ModeFreq_4,4,1 day/week,Age 16+_ Times used carshare in past 30 days
ModeFreq_4,5,1-3 times in the past 30 days,Age 16+_ Times used carshare in past 30 days
ModeFreq_4,6,"I do this, but not in the past 30 days",Age 16+_ Times used carshare in past 30 days
ModeFreq_4,7,I never do this,Age 16+_ Times used carshare in past 30 days
ModeFreq_5,1,6-7 days/week,Age 16+_ Times used rideshare in past 30 days
ModeFreq_5,2,5 days/week,Age 16+_ Times used rideshare in past 30 days
ModeFreq_5,3,2-4 days/week,Age 16+_ Times used rideshare in past 30 days
ModeFreq_5,4,1 day/week,Age 16+_ Times used rideshare in past 30 days
ModeFreq_5,5,1-3 times in the past 30 days,Age 16+_ Times used rideshare in past 30 days
ModeFreq_5,6,"I do this, but not in the past 30 days",Age 16+_ Times used rideshare in past 30 days
ModeFreq_5,7,I never do this,Age 16+_ Times used rideshare in past 30 days
TranPass_1,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ Cash
TranPass_1,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ Cash
TranPass_1,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ Cash
TranPass_2,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ Tickets
TranPass_2,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ Tickets
TranPass_2,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ Tickets
TranPass_3,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ ORCA card
TranPass_3,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ ORCA card
TranPass_3,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ ORCA card
TranPass_4,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ UPass or Husky Card
TranPass_4,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ UPass or Husky Card
TranPass_4,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ UPass or Husky Card
TranPass_5,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ Regional Reduced-Fare Permit
TranPass_5,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ Regional Reduced-Fare Permit
TranPass_5,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ Regional Reduced-Fare Permit
TranPass_6,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ Flexpass_Passport
TranPass_6,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ Flexpass_Passport
TranPass_6,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ Flexpass_Passport
TranPass_7,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ Access Pass
TranPass_7,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ Access Pass
TranPass_7,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ Access Pass
TranPass_8,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ School District Card_Pass
TranPass_8,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ School District Card_Pass
TranPass_8,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ School District Card_Pass
TranPass_9,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ City_County Employee Badge
TranPass_9,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ City_County Employee Badge
TranPass_9,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ City_County Employee Badge
TranPass_10,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ Ride free
TranPass_10,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ Ride free
TranPass_10,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ Ride free
TranPass_11,1,Typically use,Ridden transit in past 30 days_ Available and typically use when riding transit_ Other
TranPass_11,2,"Available, but don't typically use",Ridden transit in past 30 days_ Available and typically use when riding transit_ Other
TranPass_11,3,Not available,Ridden transit in past 30 days_ Available and typically use when riding transit_ Other
TranPass_12,1,"Yes, school pays all of value",Age 12+_ travels to school_ uses transit pass_ School pays for part of all of pass value
TranPass_12,2,"Yes, school pays part of value",Age 12+_ travels to school_ uses transit pass_ School pays for part of all of pass value
TranPass_12,3,"No, participant/household pays all of value",Age 12+_ travels to school_ uses transit pass_ School pays for part of all of pass value
TranPass_12,4,"No, someone else pays all of value",Age 12+_ travels to school_ uses transit pass_ School pays for part of all of pass value
TranPass_12,5,I don't know,Age 12+_ travels to school_ uses transit pass_ School pays for part of all of pass value
Benefits_1,1,Not offered,Employer commuter benefits_ Flextime
Benefits_1,2,"Offered, but I don't use",Employer commuter benefits_ Flextime
Benefits_1,3,"Offered, and I use",Employer commuter benefits_ Flextime
Benefits_1,4,I don't know,Employer commuter benefits_ Flextime
Benefits_2,1,Not offered,Employer commuter benefits_ Compressed Week
Benefits_2,2,"Offered, but I don't use",Employer commuter benefits_ Compressed Week
Benefits_2,3,"Offered, and I use",Employer commuter benefits_ Compressed Week
Benefits_2,4,I don't know,Employer commuter benefits_ Compressed Week
Benefits_3,1,Not offered,Employer commuter benefits_ Free_partially subsidized passes_fares
Benefits_3,2,"Offered, but I don't use",Employer commuter benefits_ Free_partially subsidized passes_fares
Benefits_3,3,"Offered, and I use",Employer commuter benefits_ Free_partially subsidized passes_fares
Benefits_3,4,I don't know,Employer commuter benefits_ Free_partially subsidized passes_fares
Benefits_4,1,Not offered,Employer commuter benefits_ Other subsidized commute (vanpool_ bike_ etc.)
Benefits_4,2,"Offered, but I don't use",Employer commuter benefits_ Other subsidized commute (vanpool_ bike_ etc.)
Benefits_4,3,"Offered, and I use",Employer commuter benefits_ Other subsidized commute (vanpool_ bike_ etc.)
Benefits_4,4,I don't know,Employer commuter benefits_ Other subsidized commute (vanpool_ bike_ etc.)
AvInterest_1,1,Very interested,Age 18+_ proxy _ 3_ Autonomous car interest_ Taxi_ no driver present
AvInterest_1,2,Somewhat interested,Age 18+_ proxy _ 3_ Autonomous car interest_ Taxi_ no driver present
AvInterest_1,3,Neutral,Age 18+_ proxy _ 3_ Autonomous car interest_ Taxi_ no driver present
AvInterest_1,4,Somewhat uninterested,Age 18+_ proxy _ 3_ Autonomous car interest_ Taxi_ no driver present
AvInterest_1,5,Not at all interested,Age 18+_ proxy _ 3_ Autonomous car interest_ Taxi_ no driver present
AvInterest_1,6,Don't know,Age 18+_ proxy _ 3_ Autonomous car interest_ Taxi_ no driver present
AvInterest_2,1,Very interested,Age 18+_ proxy _ 3_Autonomous car interest_ Taxi_ backup driver present
AvInterest_2,2,Somewhat interested,Age 18+_ proxy _ 3_Autonomous car interest_ Taxi_ backup driver present
AvInterest_2,3,Neutral,Age 18+_ proxy _ 3_Autonomous car interest_ Taxi_ backup driver present
AvInterest_2,4,Somewhat uninterested,Age 18+_ proxy _ 3_Autonomous car interest_ Taxi_ backup driver present
AvInterest_2,5,Not at all interested,Age 18+_ proxy _ 3_Autonomous car interest_ Taxi_ backup driver present
