Variable,ValueOrder,ValueText,VariableName,ValueGroup1
ResFactorsHHchange,4,Somewhat important,How important when chose current home: A change in family size or marital/ partner status,Somewhat important
ResFactorsHHchange,5,Very important,How important when chose current home: A change in family size or marital/ partner status,Very important
ResFactorsHwy,1,Very unimportant,How important when chose current home: Being close to the highway,Very unimportant
ResFactorsHwy,2,Somewhat unimportant,How important when chose current home: Being close to the highway,Somewhat unimportant
ResFactorsHwy,3,Neither or N/A,How important when chose current home: Being close to the highway,Neither or N/A
ResFactorsHwy,4,Somewhat important,How important when chose current home: Being close to the highway,Somewhat important
ResFactorsHwy,5,Very important,How important when chose current home: Being close to the highway,Very important
ResFactorsSchool,1,Very unimportant,How important when chose current home: Quality of schools (K-12),Very unimportant
ResFactorsSchool,2,Somewhat unimportant,How important when chose current home: Quality of schools (K-12),Somewhat unimportant
ResFactorsSchool,3,Neither or N/A,How important when chose current home: Quality of schools (K-12),Neither or N/A
ResFactorsSchool,4,Somewhat important,How important when chose current home: Quality of schools (K-12),Somewhat important
ResFactorsSchool,5,Very important,How important when chose current home: Quality of schools (K-12),Very important
ResFactorsSpace,1,Very unimportant,How important when chose current home: Having space & separation from others,Very unimportant
ResFactorsSpace,2,Somewhat unimportant,How important when chose current home: Having space & separation from others,Somewhat unimportant
ResFactorsSpace,3,Neither or N/A,How important when chose current home: Having space & separation from others,Neither or N/A
ResFactorsSpace,4,Somewhat important,How important when chose current home: Having space & separation from others,Somewhat important
ResFactorsSpace,5,Very important,How important when chose current home: Having space & separation from others,Very important
ResFactorsTransit,1,Very unimportant,How important when chose current home: Being close to public transit,Very unimportant
ResFactorsTransit,2,Somewhat unimportant,How important when chose current home: Being close to public transit,Somewhat unimportant
ResFactorsTransit,3,Neither or N/A,How important when chose current home: Being close to public transit,Neither or N/A
ResFactorsTransit,4,Somewhat important,How important when chose current home: Being close to public transit,Somewhat important
ResFactorsTransit,5,Very important,How important when chose current home: Being close to public transit,Very important
ResFactorsWalk,1,Very unimportant,How important when chose current home: Having a walkable neighborhood and being near local activities,Very unimportant
ResFactorsWalk,2,Somewhat unimportant,How important when chose current home: Having a walkable neighborhood and being near local activities,Somewhat unimportant
ResFactorsWalk,3,Neither or N/A,How important when chose current home: Having a walkable neighborhood and being near local activities,Neither or N/A
ResFactorsWalk,4,Somewhat important,How important when chose current home: Having a walkable neighborhood and being near local activities,Somewhat important
ResFactorsWalk,5,Very important,How important when chose current home: Having a walkable neighborhood and being near local activities,Very important
RmoveOptin,1,Selected rMove when offered,rMove offer response,Selected rMove when offered
RmoveOptin,2,Declined rMove when offered,rMove offer response,Declined rMove when offered
DiaryIncentiveType,1,Amazon e-gift card (delivered by email),rSurvey only: Incentive type,Amazon e-gift card (delivered by email)
DiaryIncentiveType,2,Starbucks e-gift card (delivered by email),rSurvey only: Incentive type,Starbucks e-gift card (delivered by email)
DiaryIncentiveType,3,Amazon mailed gift card (will take longer to arrive),rSurvey only: Incentive type,Amazon mailed gift card (will take longer to arrive)
DiaryIncentiveType,4,Starbucks mailed gift card (will take longer to arrive),rSurvey only: Incentive type,Starbucks mailed gift card (will take longer to arrive)
DiaryIncentiveType,5,None - prefer not to receive a gift card,rSurvey only: Incentive type,None - prefer not to receive a gift card
ExtraIncentive,0,No extra incentive offered,Extra incentive,No extra incentive offered
ExtraIncentive,1,Received extra incentive,Extra incentive,Received extra incentive
CallCenter,0,No,Household completed Part 1 (recruit survey) through the call center,No
CallCenter,1,Yes,Household completed Part 1 (recruit survey) through the call center,Yes
MobileDevice,0,No,Household completed Part 1 (recruit survey) on a mobile device,No
MobileDevice,1,Yes,Household completed Part 1 (recruit survey) on a mobile device,Yes
ContactEmail,0,Not Selected,Household requested email reminders,Not Selected
ContactEmail,1,Selected,Household requested email reminders,Selected
ContactPhone,0,Not Selected,Household requested phone reminders,Not Selected
ContactPhone,1,Selected,Household requested phone reminders,Selected
ForeignLanguage,0,No,Detected foreign language browser during Part 1 (recruit survey),No
ForeignLanguage,1,Yes,Detected foreign language browser during Part 1 (recruit survey),Yes
GoogleTranslate,0,No,Detected Google translate tool during Part 1 (recruit survey),No
GoogleTranslate,1,Yes,Detected Google translate tool during Part 1 (recruit survey),Yes
Numdayscomplete,1,1 day,Household number of days complete,1 day
Numdayscomplete,2,2 days,Household number of days complete,2 days
Numdayscomplete,3,3 days,Household number of days complete,3 days
Numdayscomplete,4,4 days,Household number of days complete,4 days
Numdayscomplete,5,5 days,Household number of days complete,5 days
Numdayscomplete,6,6 days,Household number of days complete,6 days
Numdayscomplete,7,7 days,Household number of days complete,7 days
Day1complete,0,No,Household completed day 1 of study,No
Day1complete,1,Yes,Household completed day 1 of study,Yes
Day2complete,0,No,rMove only: Household completed day 2 of study,No
Day2complete,1,Yes,rMove only: Household completed day 2 of study,Yes
Day3complete,0,No,rMove only: Household completed day 3 of study,No
Day3complete,1,Yes,rMove only: Household completed day 3 of study,Yes
Day4complete,0,No,rMove only: Household completed day 4 of study,No
Day4complete,1,Yes,rMove only: Household completed day 4 of study,Yes
Day5complete,0,No,rMove only: Household completed day 5 of study,No
Day5complete,1,Yes,rMove only: Household completed day 5 of study,Yes
Day6complete,0,No,rMove only: Household completed day 6 of study,No
Day6complete,1,Yes,rMove only: Household completed day 6 of study,Yes
Day7complete,0,No,rMove only: Household completed day 7 of study,No
Day7complete,1,Yes,rMove only: Household completed day 7 of study,Yes
NumTrips,0,0 (no trips),Household number of trips,0 (no trips)
Nwkdays,0,0 day,Number of weekdays (Mon-Thu) for weighting,0 day
Nwkdays,1,1 day,Number of weekdays (Mon-Thu) for weighting,1 day
Nwkdays,2,2 days,Number of weekdays (Mon-Thu) for weighting,2 days
Nwkdays,3,3 days,Number of weekdays (Mon-Thu) for weighting,3 days
Nwkdays,4,4 days,Number of weekdays (Mon-Thu) for weighting,4 days
SampleSegment,1,1 - PSRC - Regular-Low,Sample segment,1 - PSRC - Regular-Low
SampleSegment,2,2 - PSRC - Regular-Medium,Sample segment,2 - PSRC - Regular-Medium
SampleSegment,3,3 - PSRC - Regular-High,Sample segment,3 - PSRC - Regular-High
SampleSegment,11,11 - PSRC - Oversample-Low,Sample segment,11 - PSRC - Oversample-Low
SampleSegment,12,12 - PSRC - Oversample-Medium,Sample segment,12 - PSRC - Oversample-Medium
SampleSegment,13,13 - PSRC - Oversample-High,Sample segment,13 - PSRC - Oversample-High
SampleSegment,22,22 - Redmond - Regular-Medium,Sample segment,22 - Redmond - Regular-Medium
SampleSegment,23,23 - Redmond - Regular-High,Sample segment,23 - Redmond - Regular-High
SampleSegment,31,31 - Redmond - Oversample-Low,Sample segment,31 - Redmond - Oversample-Low
SampleSegment,32,32 - Redmond - Oversample-Medium,Sample segment,32 - Redmond - Oversample-Medium
SampleSegment,33,33 - Redmond - Oversample-High,Sample segment,33 - Redmond - Oversample-High
SampleSegment,42,42 - Redmond - Downtown-Medium,Sample segment,42 - Redmond - Downtown-Medium
SampleSegment,43,43 - Redmond - Downtown-High,Sample segment,43 - Redmond - Downtown-High
SampleSegment,50,50 - UV - 10%,Sample segment,50 - UV - 10%
SampleSegment,51,51 - UV - 15%,Sample segment,51 - UV - 15%
SampleSegment,52,52 - UV - 20%,Sample segment,52 - UV - 20%
SampleSegment,53,53 - UV - 25%,Sample segment,53 - UV - 25%
SampleSegment,54,54 - UV - 30%,Sample segment,54 - UV - 30%
SampleSegment,55,55 - UV - 35%,Sample segment,55 - UV - 35%
SampleSegment,56,56 - UV - 50%,Sample segment,56 - UV - 50%
SampleSegment,57,57 - UV - 60%,Sample segment,57 - UV - 60%
SampleSegment,58,58 - UV - 75%,Sample segment,58 - UV - 75%
SampleSegment,59,59 - UV - 100%,Sample segment,59 - UV - 100%
Relationship,0,Self,Relationship to primary respondent,Self
Relationship,1,Wife/Husband/Partner,Relationship to primary respondent,Wife/Husband/Partner
Relationship,2,Daughter/Son/In-law,Relationship to primary respondent,Daughter/Son/In-law
Relationship,3,Mother/Father/In-law,Relationship to primary respondent,Mother/Father/In-law
Relationship,4,Sister/Brother/In-law,Relationship to primary respondent,Sister/Brother/In-law
Relationship,5,Other relative,Relationship to primary respondent,Other relative
Relationship,6,Roommate/Friend,Relationship to primary respondent,Roommate/Friend
Relationship,7,Household help,Relationship to primary respondent,Household help
Relationship,97,Other,Relationship to primary respondent,Other
ProxyParent,0,No,rMove only: Is proxy parent,No
ProxyParent,1,Yes,rMove only: Is proxy parent,Yes
Proxy,1,Respondent answered themselves,Survey respondent/proxy,Respondent answered themselves
Proxy,2,Another person responded with the participant present,Survey respondent/proxy,Another person responded with the participant present
Proxy,3,Another person responded without the participant present,Survey respondent/proxy,Another person responded without the participant present
Age,1,Under 5 years old,Age,Under 5 years old
Age,2,5-11 years,Age,5-11 years
Age,3,12-15 years,Age,12-15 years
Age,4,16-17 years,Age,16-17 years
Age,5,18-24 years,Age,18-24 years
Age,6,25-34 years,Age,25-34 years
Age,7,35-44 years,Age,35-44 years
Age,8,45-54 years,Age,45-54 years
Age,9,55-64 years,Age,55-64 years
Age,10,65-74 years,Age,65-74 years
Age,11,75-84 years,Age,75-84 years
Age,12,85 or years older,Age,85 or years older
Gender,1,Male,Gender,Male
Gender,2,Female,Gender,Female
Gender,3,Another,Gender,Another
Gender,4,Prefer not to answer,Gender,Prefer not to answer
Employment,1,"Employed full time (35+ hours/week, paid)",Age 18+: Employment status,"Employed full time (35+ hours/week, paid)"
Employment,2,"Employed part time (fewer than 35 hours/week, paid)",Age 18+: Employment status,"Employed part time (fewer than 35 hours/week, paid)"
Employment,3,Self-employed,Age 18+: Employment status,Self-employed
Employment,4,Unpaid volunteer or intern,Age 18+: Employment status,Unpaid volunteer or intern
Employment,5,Homemaker,Age 18+: Employment status,Homemaker
Employment,6,Retired,Age 18+: Employment status,Retired
Employment,7,Not currently employed,Age 18+: Employment status,Not currently employed
JobsCount,0,0 jobs,Age 16-17 or employed adult: Number of jobs,0 jobs
JobsCount,1,1 job,Age 16-17 or employed adult: Number of jobs,1 job
JobsCount,2,2 jobs,Age 16-17 or employed adult: Number of jobs,2 jobs
JobsCount,3,3 jobs,Age 16-17 or employed adult: Number of jobs,3 jobs
JobsCount,4,4 jobs,Age 16-17 or employed adult: Number of jobs,4 jobs
JobsCount,5,5 or more jobs,Age 16-17 or employed adult: Number of jobs,5 or more jobs
Worker,0,No jobs,Worker status (derived),No jobs
Worker,1,1+ job(s) (including part-time),Worker status (derived),1+ job(s) (including part-time)
Student,1,"No, not a student",Age 18+: Student status,"No, not a student"
Student,2,Part-time student,Age 18+: Student status,Part-time student
Student,3,Full-time student,Age 18+: Student status,Full-time student
Schooltype,1,Daycare,Student (child or adult): Type of school attended,Daycare
Schooltype,2,Preschool,Student (child or adult): Type of school attended,Preschool
Schooltype,3,K-12 public school,Student (child or adult): Type of school attended,K-12 public school
Schooltype,4,K-12 private school,Student (child or adult): Type of school attended,K-12 private school
Schooltype,5,K-12 home school (full-time or part-time),Student (child or adult): Type of school attended,K-12 home school (full-time or part-time)
Schooltype,6,"College, graduate, or professional school",Student (child or adult): Type of school attended,"College, graduate, or professional school"
Schooltype,7,Vocational/technical school,Student (child or adult): Type of school attended,Vocational/technical school
Schooltype,9,None,Student (child or adult): Type of school attended,None
Schooltype,97,Other,Student (child or adult): Type of school attended,Other
Education,1,Less than high school,Age 18+: Educational attainment,Less than high school
Education,2,High school graduate,Age 18+: Educational attainment,High school graduate
Education,3,Some college,Age 18+: Educational attainment,Some college
Education,4,Vocational/technical training,Age 18+: Educational attainment,Vocational/technical training
Education,5,Associates degree,Age 18+: Educational attainment,Associates degree
Education,6,Bachelor degree,Age 18+: Educational attainment,Bachelor degree
Education,7,Graduate/post-graduate degree,Age 18+: Educational attainment,Graduate/post-graduate degree
License,1,"Yes, has an intermediate or unrestricted license",Age 16+: Has valid drivers license,"Yes, has an intermediate or unrestricted license"
License,2,"Yes, has a learner’s permit",Age 16+: Has valid drivers license,"Yes, has a learner’s permit"
License,3,"No, does not have a license or permit",Age 16+: Has valid drivers license,"No, does not have a license or permit"
Vehicleused,1,Household vehicle 1,"Has drivers license, in HH with car: Vehicle uses most often",Household vehicle 1
Vehicleused,2,Household vehicle 2,"Has drivers license, in HH with car: Vehicle uses most often",Household vehicle 2
Vehicleused,3,Household vehicle 3,"Has drivers license, in HH with car: Vehicle uses most often",Household vehicle 3
Vehicleused,4,Household vehicle 4,"Has drivers license, in HH with car: Vehicle uses most often",Household vehicle 4
Vehicleused,5,Household vehicle 5,"Has drivers license, in HH with car: Vehicle uses most often",Household vehicle 5
Vehicleused,11,"A carshare vehicle (Zipcar, Car2Go, RelayRides, etc.)","Has drivers license, in HH with car: Vehicle uses most often","A carshare vehicle (Zipcar, Car2Go, RelayRides, etc.)"
Vehicleused,12,Other vehicle,"Has drivers license, in HH with car: Vehicle uses most often",Other vehicle
Vehicleused,13,None,"Has drivers license, in HH with car: Vehicle uses most often",None
SmartphoneType,1,"Yes, has an Android phone",Age 18+: Smartphone type,"Yes, has an Android phone"
SmartphoneType,2,"Yes, has an iPhone",Age 18+: Smartphone type,"Yes, has an iPhone"
SmartphoneType,3,"Yes, has a Windows Phone",Age 18+: Smartphone type,"Yes, has a Windows Phone"
SmartphoneType,4,"Yes, has a Blackberry",Age 18+: Smartphone type,"Yes, has a Blackberry"
SmartphoneType,5,"Yes, has other type of smartphone",Age 18+: Smartphone type,"Yes, has other type of smartphone"
SmartphoneType,6,"No, does not have a smartphone",Age 18+: Smartphone type,"No, does not have a smartphone"
SmartphoneAge,1,Yes,Smartphone is more than four years old,Yes
SmartphoneAge,2,No,Smartphone is more than four years old,No
SmartphoneQualified,0,No,Owns rMove qualified smartphone,No
SmartphoneQualified,1,Yes,Owns rMove qualified smartphone,Yes
RaceAfam,0,Not Selected,Age 18+: Race: African American or Black,Not Selected
RaceAfam,1,Selected,Age 18+: Race: African American or Black,Selected
RaceAiak,0,Not Selected,Age 18+: Race: American Indian or Alaska Native,Not Selected
RaceAiak,1,Selected,Age 18+: Race: American Indian or Alaska Native,Selected
RaceAsian,0,Not Selected,Age 18+: Race: Asian,Not Selected
RaceAsian,1,Selected,Age 18+: Race: Asian,Selected
RaceHapi,0,Not Selected,Age 18+: Race: Native Hawaiian or Pacific Islander,Not Selected
RaceHapi,1,Selected,Age 18+: Race: Native Hawaiian or Pacific Islander,Selected
RaceHisp,0,Not Selected,Age 18+: Race: Hispanic,Not Selected
RaceHisp,1,Selected,Age 18+: Race: Hispanic,Selected
RaceWhite,0,Not Selected,Age 18+: Race: White,Not Selected
RaceWhite,1,Selected,Age 18+: Race: White,Selected
RaceOther,0,Not Selected,Age 18+: Race: Other,Not Selected
RaceOther,1,Selected,Age 18+: Race: Other,Selected
RaceNoanswer,0,Not Selected,Age 18+: Race: Prefer not to answer,Not Selected
RaceNoanswer,1,Selected,Age 18+: Race: Prefer not to answer,Selected
Workplace,1,Usually the same location (outside home),Employed: Usual work location,Usually the same location (outside home)
Workplace,2,Workplace regularly varies (different offices or jobsites),Employed: Usual work location,Workplace regularly varies (different offices or jobsites)
Workplace,3,At home (telecommute or self-employed with home office),Employed: Usual work location,At home (telecommute or self-employed with home office)
Workplace,4,"Drives for a living (e.g., bus driver, salesperson)",Employed: Usual work location,"Drives for a living (e.g., bus driver, salesperson)"
HoursWork,1,More than 50 hours,Employed: Number of hours typically worked per week,More than 50 hours
HoursWork,2,41–50 hours,Employed: Number of hours typically worked per week,41–50 hours
HoursWork,3,31–40 hours,Employed: Number of hours typically worked per week,31–40 hours
HoursWork,4,21–30 hours,Employed: Number of hours typically worked per week,21–30 hours
HoursWork,5,11–20 hours,Employed: Number of hours typically worked per week,11–20 hours
HoursWork,6,10 hours or fewer,Employed: Number of hours typically worked per week,10 hours or fewer
CommuteFreq,1,6-7 days a week,"Employed, fixed/varied workplace: How often typically commutes to workplace",6-7 days a week
CommuteFreq,2,5 days a week,"Employed, fixed/varied workplace: How often typically commutes to workplace",5 days a week
CommuteFreq,3,4 days a week,"Employed, fixed/varied workplace: How often typically commutes to workplace",4 days a week
CommuteFreq,4,3 days a week,"Employed, fixed/varied workplace: How often typically commutes to workplace",3 days a week
CommuteFreq,5,2 days a week,"Employed, fixed/varied workplace: How often typically commutes to workplace",2 days a week
CommuteFreq,6,1 day a week,"Employed, fixed/varied workplace: How often typically commutes to workplace",1 day a week
CommuteFreq,7,A few times per month,"Employed, fixed/varied workplace: How often typically commutes to workplace",A few times per month
CommuteFreq,8,Less than monthly,"Employed, fixed/varied workplace: How often typically commutes to workplace",Less than monthly
CommuteMode,1,Drive alone,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Drive alone
CommuteMode,2,Carpool ONLY with other household members,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Carpool ONLY with other household members
CommuteMode,3,Carpool with other people not in household (may also include household members),"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Carpool with other people not in household (may also include household members)
CommuteMode,4,Motorcycle/moped/scooter,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Motorcycle/moped/scooter
CommuteMode,5,Vanpool,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Vanpool
CommuteMode,6,Bicycle or e-bike,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Bicycle or e-bike
CommuteMode,7,"Walk, jog, or wheelchair","Employed, fixed/varied workplace: Usual way of commuting to current location/office","Walk, jog, or wheelchair"
CommuteMode,8,Bus (public transit),"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Bus (public transit)
CommuteMode,9,Private bus or shuttle,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Private bus or shuttle
CommuteMode,10,Paratransit,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Paratransit
CommuteMode,11,"Commuter rail (Sounder, Amtrak)","Employed, fixed/varied workplace: Usual way of commuting to current location/office","Commuter rail (Sounder, Amtrak)"
CommuteMode,12,"Urban rail (Link light rail, monorail)","Employed, fixed/varied workplace: Usual way of commuting to current location/office","Urban rail (Link light rail, monorail)"
CommuteMode,13,Streetcar,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Streetcar
CommuteMode,14,Ferry or water taxi,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Ferry or water taxi
CommuteMode,15,"Taxi (e.g., Yellow Cab)","Employed, fixed/varied workplace: Usual way of commuting to current location/office","Taxi (e.g., Yellow Cab)"
CommuteMode,16,"Other hired service (e.g. Lyft, Uber)","Employed, fixed/varied workplace: Usual way of commuting to current location/office","Other hired service (e.g. Lyft, Uber)"
CommuteMode,17,Airplane or helicopter,"Employed, fixed/varied workplace: Usual way of commuting to current location/office",Airplane or helicopter
CommuteMode,97,"Other (e.g. skateboard, kayak, motor home, etc.)","Employed, fixed/varied workplace: Usual way of commuting to current location/office","Other (e.g. skateboard, kayak, motor home, etc.)"
CommuteDur,1,Less than a year,"Employed, fixed workplace: How long has been commuting to current location/office",Less than a year
CommuteDur,2,Between 1 and 2 years,"Employed, fixed workplace: How long has been commuting to current location/office",Between 1 and 2 years
CommuteDur,3,Between 2 and 3 years,"Employed, fixed workplace: How long has been commuting to current location/office",Between 2 and 3 years
CommuteDur,4,Between 3 and 5 years,"Employed, fixed workplace: How long has been commuting to current location/office",Between 3 and 5 years
CommuteDur,5,Between 5 and 10 years,"Employed, fixed workplace: How long has been commuting to current location/office",Between 5 and 10 years
CommuteDur,6,Between 10 and 20 years,"Employed, fixed workplace: How long has been commuting to current location/office",Between 10 and 20 years
CommuteDur,7,More than 20 years,"Employed, fixed workplace: How long has been commuting to current location/office",More than 20 years
TelecommuteFreq,1,6-7 days a week,"Employed, fixed/varied workplace: How often telecommutes",6-7 days a week
TelecommuteFreq,2,5 days a week,"Employed, fixed/varied workplace: How often telecommutes",5 days a week
TelecommuteFreq,3,4 days a week,"Employed, fixed/varied workplace: How often telecommutes",4 days a week
TelecommuteFreq,4,3 days a week,"Employed, fixed/varied workplace: How often telecommutes",3 days a week
TelecommuteFreq,5,2 days a week,"Employed, fixed/varied workplace: How often telecommutes",2 days a week
TelecommuteFreq,6,1 day a week,"Employed, fixed/varied workplace: How often telecommutes",1 day a week
TelecommuteFreq,7,A few times per month,"Employed, fixed/varied workplace: How often telecommutes",A few times per month
TelecommuteFreq,8,Less than monthly,"Employed, fixed/varied workplace: How often telecommutes",Less than monthly
TelecommuteFreq,9,Never,"Employed, fixed/varied workplace: How often telecommutes",Never
TelecommuteFreq,10,Not applicable,"Employed, fixed/varied workplace: How often telecommutes",Not applicable
Wpktyp,1,At work – driveway/surface lot,Commutes in private vehicle: Usual parking location at work,At work – driveway/surface lot
Wpktyp,2,At work – garage/parkade,Commutes in private vehicle: Usual parking location at work,At work – garage/parkade
Wpktyp,3,On street by work,Commutes in private vehicle: Usual parking location at work,On street by work
Wpktyp,4,Different location – driveway/surface lot,Commutes in private vehicle: Usual parking location at work,Different location – driveway/surface lot
Wpktyp,5,Different location – garage/parkade,Commutes in private vehicle: Usual parking location at work,Different location – garage/parkade
Wpktyp,6,Different location - on street,Commutes in private vehicle: Usual parking location at work,Different location - on street
Wpktyp,7,Dropped off,Commutes in private vehicle: Usual parking location at work,Dropped off
Wpktyp,9,Don’t know,Commutes in private vehicle: Usual parking location at work,Don’t know
Wpktyp,97,Other,Commutes in private vehicle: Usual parking location at work,Other
Workpass,1,"Yes, personally pay for parking pass at work",Parks at work: Usual way of paying for parking at work,"Yes, personally pay for parking pass at work"
Workpass,2,"Yes, personally pay daily with cash/tickets",Parks at work: Usual way of paying for parking at work,"Yes, personally pay daily with cash/tickets"
Workpass,3,"Yes, employer pays/reimburses for all or part of parking pass",Parks at work: Usual way of paying for parking at work,"Yes, employer pays/reimburses for all or part of parking pass"
Workpass,4,"Yes, employer pays/reimburses for all or part of daily parking costs",Parks at work: Usual way of paying for parking at work,"Yes, employer pays/reimburses for all or part of daily parking costs"
Workpass,5,"No, parking is usually/always free",Parks at work: Usual way of paying for parking at work,"No, parking is usually/always free"
Workpass,6,N/A (e.g. dropped off),Parks at work: Usual way of paying for parking at work,N/A (e.g. dropped off)
WorkpassCostDk,0,Not Selected,Parks at work: Don't know total work parking cost per month,Not Selected
WorkpassCostDk,1,Selected,Parks at work: Don't know total work parking cost per month,Selected
PrevWorkWa,1,"Yes, previous workplace was in Washington",New work location in last 5 years: Previous work location in State of Washington (WA),"Yes, previous workplace was in Washington"
PrevWorkWa,2,"No, previous workplace was in another state or country",New work location in last 5 years: Previous work location in State of Washington (WA),"No, previous workplace was in another state or country"
PrevWorkWa,3,Not applicable (No previous job / Previously telecommuted / Don’t know),New work location in last 5 years: Previous work location in State of Washington (WA),Not applicable (No previous job / Previously telecommuted / Don’t know)
PrevWorkNotwaState,1,Alabama (AL),New work location in last 5 years: Previous work location: State,Alabama (AL)
PrevWorkNotwaState,2,Alaska (AK),New work location in last 5 years: Previous work location: State,Alaska (AK)
PrevWorkNotwaState,3,Arizona (AZ),New work location in last 5 years: Previous work location: State,Arizona (AZ)
PrevWorkNotwaState,4,Arkansas (AR),New work location in last 5 years: Previous work location: State,Arkansas (AR)
PrevWorkNotwaState,5,California (CA),New work location in last 5 years: Previous work location: State,California (CA)
PrevWorkNotwaState,6,Colorado (CO),New work location in last 5 years: Previous work location: State,Colorado (CO)
PrevWorkNotwaState,7,Connecticut (CT),New work location in last 5 years: Previous work location: State,Connecticut (CT)
PrevWorkNotwaState,8,Delaware (DE),New work location in last 5 years: Previous work location: State,Delaware (DE)
PrevWorkNotwaState,9,Florida (FL),New work location in last 5 years: Previous work location: State,Florida (FL)
PrevWorkNotwaState,10,Georgia (GA),New work location in last 5 years: Previous work location: State,Georgia (GA)
PrevWorkNotwaState,11,Hawaii (HI),New work location in last 5 years: Previous work location: State,Hawaii (HI)
PrevWorkNotwaState,12,Idaho (ID),New work location in last 5 years: Previous work location: State,Idaho (ID)
PrevWorkNotwaState,13,Illinois (IL),New work location in last 5 years: Previous work location: State,Illinois (IL)
PrevWorkNotwaState,14,Indiana (IN),New work location in last 5 years: Previous work location: State,Indiana (IN)
PrevWorkNotwaState,15,Iowa (IA),New work location in last 5 years: Previous work location: State,Iowa (IA)
PrevWorkNotwaState,16,Kansas (KS),New work location in last 5 years: Previous work location: State,Kansas (KS)
PrevWorkNotwaState,17,Kentucky (KY),New work location in last 5 years: Previous work location: State,Kentucky (KY)
PrevWorkNotwaState,18,Louisiana (LA),New work location in last 5 years: Previous work location: State,Louisiana (LA)
PrevWorkNotwaState,19,Maine (ME),New work location in last 5 years: Previous work location: State,Maine (ME)
PrevWorkNotwaState,20,Maryland (MD),New work location in last 5 years: Previous work location: State,Maryland (MD)
PrevWorkNotwaState,21,Massachusetts (MA),New work location in last 5 years: Previous work location: State,Massachusetts (MA)
PrevWorkNotwaState,22,Michigan (MI),New work location in last 5 years: Previous work location: State,Michigan (MI)
PrevWorkNotwaState,23,Minnesota (MN),New work location in last 5 years: Previous work location: State,Minnesota (MN)
PrevWorkNotwaState,24,Mississippi (MS),New work location in last 5 years: Previous work location: State,Mississippi (MS)
PrevWorkNotwaState,25,Missouri (MO),New work location in last 5 years: Previous work location: State,Missouri (MO)
PrevWorkNotwaState,26,Montana (MT),New work location in last 5 years: Previous work location: State,Montana (MT)
PrevWorkNotwaState,27,Nebraska (NE),New work location in last 5 years: Previous work location: State,Nebraska (NE)
PrevWorkNotwaState,28,Nevada (NV),New work location in last 5 years: Previous work location: State,Nevada (NV)
PrevWorkNotwaState,29,New Hampshire (NH),New work location in last 5 years: Previous work location: State,New Hampshire (NH)
PrevWorkNotwaState,30,New Jersey (NJ),New work location in last 5 years: Previous work location: State,New Jersey (NJ)
PrevWorkNotwaState,31,New Mexico (NM),New work location in last 5 years: Previous work location: State,New Mexico (NM)
PrevWorkNotwaState,32,New York (NY),New work location in last 5 years: Previous work location: State,New York (NY)
PrevWorkNotwaState,33,North Carolina (NC),New work location in last 5 years: Previous work location: State,North Carolina (NC)
PrevWorkNotwaState,34,North Dakota (ND),New work location in last 5 years: Previous work location: State,North Dakota (ND)
PrevWorkNotwaState,35,Ohio (OH),New work location in last 5 years: Previous work location: State,Ohio (OH)
PrevWorkNotwaState,36,Oklahoma (OK),New work location in last 5 years: Previous work location: State,Oklahoma (OK)
PrevWorkNotwaState,37,Oregon (OR),New work location in last 5 years: Previous work location: State,Oregon (OR)
PrevWorkNotwaState,38,Pennsylvania (PA),New work location in last 5 years: Previous work location: State,Pennsylvania (PA)
PrevWorkNotwaState,39,Puerto Rico (PR),New work location in last 5 years: Previous work location: State,Puerto Rico (PR)
PrevWorkNotwaState,40,Rhode Island (RI),New work location in last 5 years: Previous work location: State,Rhode Island (RI)
PrevWorkNotwaState,41,South Carolina (SC),New work location in last 5 years: Previous work location: State,South Carolina (SC)
PrevWorkNotwaState,42,South Dakota (SD),New work location in last 5 years: Previous work location: State,South Dakota (SD)
PrevWorkNotwaState,43,Tennessee (TN),New work location in last 5 years: Previous work location: State,Tennessee (TN)
PrevWorkNotwaState,44,Texas (TX),New work location in last 5 years: Previous work location: State,Texas (TX)
PrevWorkNotwaState,45,Utah (UT),New work location in last 5 years: Previous work location: State,Utah (UT)
PrevWorkNotwaState,46,Vermont (VT),New work location in last 5 years: Previous work location: State,Vermont (VT)
PrevWorkNotwaState,47,Virginia (VA),New work location in last 5 years: Previous work location: State,Virginia (VA)
PrevWorkNotwaState,48,Washington (WA),New work location in last 5 years: Previous work location: State,Washington (WA)
PrevWorkNotwaState,49,West Virginia (WV),New work location in last 5 years: Previous work location: State,West Virginia (WV)
PrevWorkNotwaState,50,Wisconsin (WI),New work location in last 5 years: Previous work location: State,Wisconsin (WI)
PrevWorkNotwaState,51,Wyoming (WY),New work location in last 5 years: Previous work location: State,Wyoming (WY)
